,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-RFM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-TG - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/01/2025,Inventory Starting Value,START,,BMSC-WM - Opening inventory and value,Opening Balance Equity,0,1004190.7899999997
,Inventory Asset,04/29/2025,Bill,2088,A.N.E Wholesale,Lew's Laser HS 5.1:1 Spinning Reel,Accounts Payable (A/P),900,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-AC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-JB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-BTB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-MM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-MG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-PM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-RFM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-TG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-WM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-WC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMSC-W - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-AC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-BB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-BBL - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-MM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-MG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-PM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-RFM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-TM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-TG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-WM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-WC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBWC-W - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-AC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-BAB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-BB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-MM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-MG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-PM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-RFM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-TM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-TG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-WM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBBMB-WC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBMB-W - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBB-AC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBB-BLKB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBB-BB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMBB-MG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLJW-JB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLJW-MM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLJW-RC - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLJW-WM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLJW-WR - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDRLGD - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDRLGL - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDRLMG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDRLMBB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDRLTM$ - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDRLTM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDXLGD - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDXLMG - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDXLMBB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDXLTM$ - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,BMLARDXLTM - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB-1 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB-2 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB-3 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB-4 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB-5 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PTJB-6 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1670-244 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,RZR-OB-049 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,RZR-MS-050 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,RZR-BB-051 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,RZR-WH-052 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,RZR-WC-053 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,RZR-NC-054 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,PT-3200 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,H-Black - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,H-Bluegill - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,H-Pink - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,H-Brown - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,A-Black - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,A-Bluegill - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,A-Pink - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,A-Brown - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,FA-BlackHV - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,FA-DarkRage - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,FA-GreenPumpkin - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,FA-Bluegill - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,7.99787E+11 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,799787440252 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,799787439942 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,799787440351 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,799787440283 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,799787440115 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1630-270 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1630-209 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1630-550 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1608-590 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1620-270 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1620-610 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1620-201 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1620-590 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1620-260 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1677-270 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1677-610 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1677-222 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1677-550 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1677-590 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1676-610 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1676-244 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1676-222 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1676-590 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1697-844 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1697-610 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1697-217 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1697-108 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1697-833 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-244 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-610 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-510 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-209 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-222 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-550 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-590 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,1700-210 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
,Inventory Asset,05/01/2025,Inventory Starting Value,START,,DOB-SFJ1-113-1 - Opening inventory and value,Opening Balance Equity,0,1005090.7899999997
